Abnormality of the breast	HP:0000769
Unaided visual acuity 0.1 LogMAR	None
Inflammation of iris	None
Iritis	None
Abnormal Ishihara plate test	None
Inferior rectus muscle weakness	None
Chorioretinal dysplasia	None
Intermediate uveitis	None
Iridocorneal synechia	None
Anterior synechiae of the anterior chamber	None
Anterior synechiae	None
Iridocorneal adhesions	None
Cornea-iris adhesion	None
Retinal vascular proliferation	None
True distance exotropia	None
Allergic conjunctivitis	None
Superficial episcleral hypaeremia	None
Superficial episcleral hyperemia	None
Alternating exotropia	None
Alternating strabismus	None
Retinal pigment epithelial loss on macular OCT	None
Decreased depth of orbits	None
Shallow eye sockets	None
Small shallow orbits	None
Shallow orbits	None
Decreased depth of eye sockets	None
Ectropion uveae	None
Uveal ectropion	None
Abnormal optical coherence tomography	None
Alternating hypophoria	None
Absent photopic (cone) responses on ERG	None
non-detectable photopic ERG	None
Undetectable light-adapted electroretinogram	None
Hypermyelinated retinal nerve fibers	None
Retinal striation	None
Hypermyelinated retinal nerve fibres	None
Unaided visual acuity 0.7 LogMAR	None
Vertical gaze palsy	None
Vertical supranuclear gaze palsy	None
Pendular nystagmus	None
Nystagmus, continuous pendular	None
Nystagmus, pendular	None
Conical cornea	None
Bulging cornea	None
Keratoconus	None
Abnormality of pattern onset/offset VEP	None
Abnormality of pattern onset/offset visual evoked potentials	None
Keratoconjunctivitis sicca	None
Dry eye syndrome	None
Keratitis sicca	None
Dry eyes	None
Xerophthalmia	None
Abnormal amplitude of light-adapted flicker electroretinogram	None
Mizuo phenomenon	None
Mizuo-Nakamura phenomenon	None
Posterior embryotoxon	None
Embryotoxon	None
Oculosympathetic palsy	None
Horner's syndrome	None
Horner syndrome	None
Punched out areas of chorioretinal hypopigmentation	None
Achromatic retinal patches	None
Abnormal morphology of the choroidal vasculature	None
Abnormal multifocal electroretinogram	None
Inferior rectus muscle overaction	None
Retinal arteritis	None
Corneal endothelial guttata	None
Corneal guttata	None
Abnormal timing of pattern electroretinogram	None
Microsaccadic pursuit	None
Corneal degeneration	None
Abnormal automated kinetic perimetry test	None
Abnormal retinal morphology on macular OCT	None
Chorioretinal hypopigmentation	None
Iridocyclitis	None
Foveal depigmentation	None
Hypermetric saccades	None
Hypoplasia of the ciliary body	None
Branch retinal artery occlusion	None
Leukokoria	None
Leukocoria	None
White pupillary reflex	None
Peripheral retinal avascularization	None
Inferior rectus muscle restriction	None
Abnormality of body height	None
Accelerated linear growth	None
Tall stature	None
Increased linear growth	None
Increased body height	None
Delayed pubertal growth	None
Delayed puberty	None
Delayed pubertal development	None
Pubertal delay	None
Pituitary dwarfism	None
Growth issue	None
Growth abnormality	None
Abnormal growth	None
Undergrowth	None
Faltering weight	None
Failure to thrive	None
Postnatal failure to thrive	None
Weight faltering	None
Poor weight gain	None
Delayed growth	None
Growth retardation	None
Poor growth	None
Growth failure	None
Growth deficiency	None
Very poor growth	None
Growth delay	None
Retarded growth	None
Intrauterine growth retardation	None
In utero growth retardation	None
Prenatal-onset growth retardation	None
Small for gestational age infant	None
Prenatal growth failure	None
Intrauterine growth retardation, IUGR	None
Prenatal growth retardation	None
Intrauterine retardation	None
Intrauterine growth restriction	None
Intrauterine growth failure	None
Prenatal growth deficiency	None
IUGR	None
Prenatal onset growth retardation	None
Having too much body fat	None
Obesity	None
Low birth weight	None
Birth weight less than 10th percentile	None
Small for gestational age	None
Dolichostenomelia	None
Marfanoid habitus	None
Marfanoid body habitus	None
Disproportionate tall stature	None
Reduced upper-lower segment ratio	None
Fetal macrosomia	None
Birth weight > 90th percentile	None
Birthweight > 90th percentile	None
Large for gestational age	None
Macrosomia, neonatal	None
Macrosomia	None
Foetal macrosomia	None
Severe faltering weight	None
Marked failure to thrive	None
Severe failure to thrive	None
Severe postnatal failure to thrive	None
Severe weight faltering	None
Asymmetric overgrowth	None
Asymmetric limb hypertrophy	None
Hemihypertrophy	None
Mild postnatal growth retardation	None
Mild growth deficiency	None
Postnatal onset of mild growth retardation	None
Faltering weight in infancy	None
Failure to thrive in first year of life	None
Failure to thrive in infancy	None
Weight faltering in infancy	None
Slender build	None
Thin body habitus	None
Thin build	None
Asthenic habitus	None
General overgrowth	None
Overgrowth	None
Generalised overgrowth	None
Generalized overgrowth	None
Weight loss	None
Loss of weight	None
Centripetal obesity	None
Truncal obesity	None
Situs inversus visceralis	None
Situs inversus viscerum	None
Abdominal situs inversus	None
Disproportionate short stature	None
Short stature, disproportionate	None
Short stature, severe disproportionate	None
Mild short stature	None
Relative short stature	None
short stature, mild	None
Proportionate short stature	None
Proportionate small stature	None
Short stature, proportionate	None
Severe short stature	None
Proportionate dwarfism	None
Dwarfism	None
Short stature, severe	None
Short stature, extreme	None
Birth length greater than 97th percentile	None
Fetal overgrowth	None
Foetal overgrowth	None
Disproportionate short-trunked dwarfism	None
Short-trunked dwarfism	None
Disproportionate short-trunked short stature	None
Disproportionate short-trunk short stature	None
Birth length <3rd percentile	None
Birth length less than 3rd percentile	None
Birth length < 3rd percentile	None
Eunuchoid habitus	None
Decreased body height	None
Height less than 3rd percentile	None
Small stature	None
Short stature	None
Stature below 3rd percentile	None
Abnormality of body weight	None
Abnormality of habitus	None
Increased body weight	None
Weight gain	None
Decreased weight	None
Low weight	None
Decreased body weight	None
Weight less than 3rd percentile	None
Low body weight	None
Wasting syndrome	None
Cachexia	None
Rhizomelic arm shortening	None
Mesomelic/rhizomelic limb shortening	None
Rhizo-meso-acromelic limb shortening	None
Short stature, disproportionate mesomelic	None
Mesomelic dwarfism	None
Mesomelic short stature	None
Short stature, mesomelic	None
Dwarfism, short limb mesomelic	None
Severe prenatal growth deficiency	None
Intrauterine growth retardation, severe	None
Severe intrauterine growth retardation	None
Short stature, moderate	None
Moderately short stature	None
Moderate short stature	None
Severe postnatal growth deficiency	None
Severe growth delay in children	None
Marked growth retardation	None
Severe postnatal growth retardation	None
Severe postnatal growth failure	None
Moderate postnatal growth retardation	None
Moderate growth delay in children	None
Neonatal short-trunk short stature	None
Short-trunk dwarfism identifiable at birth	None
Faltering weight secondary to recurrent infections	None
Failure to thrive secondary to recurrent infections	None
Weight faltering secondary to recurrent infections	None
Short stature, disproportionate short-limb	None
Micromelic dwarfism	None
Short limb dwarfism, disproportionate	None
Short stature, disproportionate short limb	None
Short-limb dwarfism	None
Brachymelic dwarfism	None
Short limb dwarfism	None
Short-limbed dwarfism	None
Dwarfism, short-limbed	None
Disproportionate short limb dwarfism	None
Disproportionate short-limb short stature	None
Mild intrauterine growth retardation	None
Mild prenatal growth deficiency	None
Severe short-limb dwarfism	None
Postnatal growth retardation	None
Growth delay as children	None
Postnatal growth deceleration	None
Postnatal growth deficiency	None
Postnatal growth failure	None
Growth retardation as children	None
Rhizomelic short stature	None
Rhizomelia	None
Rhizomelic dwarfism	None
Disproportionately short upper portion of limb	None
Symmetrical rhizomelic limb shortening	None
Rhizomelic shortening	None
Rhizomelic limb shortening	None
Short stature, rhizomelic	None
Rhizomelic short limbs	None
Lethal short-limbed dwarfism	None
Lethal micromelic dwarfism	None
Lethal short-limbed short stature	None
Childhood-onset truncal obesity	None
Truncal obesity apparent in childhood	None
Dwarfism, neonatal short-limbed	None
Neonatal short-limb short stature	None
Neonatal short-limbed dwarfism	None
Short-limbed dwarfism identifiable at birth	None
Short limb dwarfism recognisable at birth	None
Short-limb dwarfism identifiable at birth	None
Short limb dwarfism recognizable at birth	None
Short-limb dwarfism identifiable neonatally	None
Short-trunk dwarfism identifiable during childhood	None
Childhood-onset short-trunk short stature	None
Disproportionate short-trunk short stature, identifiable in childhood	None
Asymmetric short stature	None
Lethal short-trunk dwarfism	None
Lethal short-trunk short stature	None
Childhood onset short-limb short stature	None
Short-limb dwarfism identifiable during childhood	None
Short-trunk dwarfism, identifiable in infancy	None
Infancy onset short-trunk short stature	None
Proportionate tall stature	None
Moderate intrauterine growth retardation	None
Right atrial isomerism	None
Left atrial isomerism	None
Abnormality of abdominal situs	None
Rhizomelic leg shortening	None
Delayed start of first period	None
Delayed menarche	None
Abdominal obesity	None
Central obesity	None
Abnormal upper to lower segment ratio	None
Reduced upper to lower segment ratio	None
Increased upper to lower segment ratio	None
Delayed adrenarche	None
Class I obesity	None
Obesity grade 1	None
Obesity grade 2	None
Class II obesity	None
Obesity grade 3	None
Class III obesity	None
Overweight	None
Delayed thelarche	None
Increased body fat percentage	None
Heterotaxia	None
Heterotaxy	None
Absent pubertal growth spurt	None
Absent adolescent growth spurt	None
Increased body mass index	None
Increased BMI	None
Bronchial isomerism	None
Abdominal situs ambiguus	None
Abnormal waist to hip ratio	None
Increased waist to hip ratio	None
Increased WHR	None
Increased waist-hip ratio	None
Increased waist-to-hip ratio	None
Decreased waist-hip ratio	None
Decreased WHR	None
Decreased waist to hip ratio	None
Decreased waist-to-hip ratio	None
Isomerism	None
Left Isomerism	None
Left-sided isomerism	None
Right-sided isomerism	None
Right isomerism	None
Abnormal skinfold thickness measurement	None
Abnormal triceps skinfold thickness	None
Increased triceps skinfold thickness	None
Acromegalic growth	None
Acral hypertrophy	None
Acromegaly	None
Acral overgrowth	None
Acral enlargement	None
Growth without growth hormone	None
Decreased adipose tissue percentage	None
Decreased body fat percentage	None
Abnormal BMI	None
Abnormal body mass index	None
Abnormality of body mass index	None
Decreased body mass index	None
Decreased BMI	None
Overgrowth of one leg	None
Hemihypertrophy of lower limb	None
Hemihypertrophy of upper limb	None
Overgrowth of one arm	None
Uneven or disproportionate growth of one body part compared to another	None
Asymmetric growth	None
Asymmetric limb shortening	None
Hemiatrophy	None
Hemiatrophy of the body	None
Asymmetric lower limb shortening	None
Hemiatrophy of lower limb	None
Hemihypotrophy of upper limb	None
Hemiatrophy of upper limb	None
Asymmetric upper limb shortening	None
Lower limb asymmetry	None
Leg length discrepancy	None
Left and right leg differ in length or width	None
Unequal size of arms	None
Upper limb asymmetry	None
Asymmetric lower limb shortness	None
Asymmetric leg shortening	None
Hemihypotrophy of lower limb	None
Decreased width of maxilla	None
Narrow upper jaw bones	None
Narrow maxilla	None
Transverse hypoplasia of maxilla	None
Decreased breadth of upper jaw bones	None
Transverse maxillary deficiency	None
Decreased transverse dimension of maxilla	None
Decreased width of upper jaw bones	None
Transverse maxillary insufficiency	None
Everted lower eyelids	None
Lower eyelid folded out	None
Ectropion of lower eyelids	None
Lower eyelid turned out	None
Central cleft upper lip	None
Midline cleft lip	None
Median cleft lip	None
Wide neck	None
Broad neck	None
Increased width of neck	None
Thick neck	None
Persistent wide fontanel	None
Large fontanelle	None
Large fontanels	None
Large fontanel	None
Large fontanelles	None
Large bregma sutures	None
Wide bregma sutures	None
Large, late-closing fontanelle	None
Wide fontanelles	None
Enlarged fontanelles	None
Periorbital ecchymosis with tarsal plate sparing	None
Raccoon eyes	None
Metopic suture patent to nasal root	None
Accessory nares	None
Supernumerary naris	None
Supernumerary nares	None
Extra nostril	None
Accessory nostril	None
Supernumerary nostrils	None
Macrostomia	None
Large oral aperture	None
Wide mouth	None
Broad mouth	None
Large mouth	None
Small forehead fontanel	None
Small anterior fontanel	None
Small anterior fontanelle	None
Bad bite	None
Bilateral crossbite	None
Incorrect relation between upper and lower dental arches	None
Malocclusion of teeth	None
Misalignment of upper and lower dental arches	None
Occlusion anomaly	None
Malocclusion	None
Angle class 2 malocclusion	None
Malalignment of upper and lower dental arches	None
Angle class 3 malocclusion	None
Bilateral crossbite malocclusion	None
Dental malocclusion	None
Involutional entropion	None
Semilunar tooth	None
Semicircular tooth	None
Crescent-shape tooth	None
Tooth, semilunar	None
Hutchinson incisor	None
Cross bite	None
Blepharitis	None
Cellulitis of eyelids	None
Inflammation of eyelids	None
Abnormal lacrimal gland morphology	None
Abnormality of the lacrimal gland	None
